num,keyword,minor_category,major_category,갯수
AA-01,전시,전시회 관람,문화예술 관람/참여활동,0
AA-02,사진전,전시회 관람,문화예술 관람/참여활동,0
AA-03,아트홀,전시회 관람,문화예술 관람/참여활동,0
AA-04,갤러리,전시회 관람,문화예술 관람/참여활동,0
AA-05,엑스코,전시회 관람,문화예술 관람/참여활동,0
AA-06,백스코,전시회 관람,문화예술 관람/참여활동,0
AA-07,페어,전시회 관람,문화예술 관람/참여활동,0
AA-08,박람회,전시회 관람,문화예술 관람/참여활동,0
AB-01,박물관,박물관 관람,문화예술 관람/참여활동,0
AB-02,역사,박물관 관람,문화예술 관람/참여활동,0
AB-03,문화재,박물관 관람,문화예술 관람/참여활동,0
AB-04,유물,박물관 관람,문화예술 관람/참여활동,0
AB-05,과학관,박물관 관람,문화예술 관람/참여활동,0
AB-06,미술관,박물관 관람,문화예술 관람/참여활동,0
AB-07,기념관,박물관 관람,문화예술 관람/참여활동,0
AC-01,클래식,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-02,오페라,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-03,오케스트라,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-04,연주회,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-05,음악회,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-06,콩쿠르,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-07,관현악,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AC-08,예술의전당,"음악연주회 관람(클래식, 오페라 등)",문화예술 관람/참여활동,0
AD-01,국악,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-02,민속놀이,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-03,민요,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-04,판소리,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-05,사물놀이,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-06,줄타기,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-07,가야금,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-08,해금,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AD-09,거문고,"전통예술공연 관람(국악, 민속놀이 등) / 배우기",문화예술 관람/참여활동,0
AE-01,연극,연극공연 관람(뮤지컬 포함),문화예술 관람/참여활동,0
AE-02,뮤지컬,연극공연 관람(뮤지컬 포함),문화예술 관람/참여활동,0
AE-03,극단,연극공연 관람(뮤지컬 포함),문화예술 관람/참여활동,0
AE-04,브로드웨이,연극공연 관람(뮤지컬 포함),문화예술 관람/참여활동,0
AE-05,소극장,연극공연 관람(뮤지컬 포함),문화예술 관람/참여활동,0
AF-01,무용공연,춤/무용공연,문화예술 관람/참여활동,0
AF-02,발레,춤/무용공연,문화예술 관람/참여활동,0
AF-03,댄스,춤/무용공연,문화예술 관람/참여활동,0
AF-04,무용,춤/무용공연,문화예술 관람/참여활동,0
AF-05,비보잉,춤/무용공연,문화예술 관람/참여활동,0
AG-01,영화관,영화관람,문화예술 관람/참여활동,0
AG-02,롯데시네마,영화관람,문화예술 관람/참여활동,0
AG-03,cgv,영화관람,문화예술 관람/참여활동,0
AG-04,메가박스,영화관람,문화예술 관람/참여활동,0
AG-05,상영,영화관람,문화예술 관람/참여활동,0
AG-06,아이맥스,영화관람,문화예술 관람/참여활동,0
AG-07,개봉,영화관람,문화예술 관람/참여활동,0
AG-08,자동차극장,영화관람,문화예술 관람/참여활동,0
AH-01,콘서트,"연예공연 관람(쇼, 콘서트, 마술쇼 등)",문화예술 관람/참여활동,0
AH-02,마술,"연예공연 관람(쇼, 콘서트, 마술쇼 등)",문화예술 관람/참여활동,0
