날짜,기온,강수량
2022-02-20,-4.9,0.1
2022-02-21,-3.2,0.0
2022-02-22,-4.5,0.1
2022-02-23,-5.8,0.0
2022-02-24,-2.8,0.0
2022-02-25,2.5,0.0
2022-02-26,5.5,0.0
2022-02-27,3.5,1.1
2022-02-28,6.4,0.0
2022-03-01,6.0,0.0
2022-03-02,3.1,2.3
2022-03-03,5.6,0.0
2022-03-04,6.6,0.0
2022-03-05,2.7,0.0
2022-03-06,1.2,0.0
2022-03-07,2.5,0.0
2022-03-08,5.7,0.0
2022-03-09,6.8,0.0
2022-03-10,8.9,0.0
2022-03-11,10.8,0.0
2022-03-12,12.7,0.0
2022-03-13,11.8,2.6
2022-03-14,8.6,42.1
2022-03-15,7.0,8.7
2022-03-16,9.9,0.0
2022-03-17,10.7,0.0
2022-03-18,7.5,1.2
2022-03-19,3.7,0.0
2022-03-20,5.2,14.6
2022-03-21,4.7,0.0
2022-03-22,4.6,0.0
2022-03-23,6.2,0.0
2022-03-24,8.0,0.0
2022-03-25,11.6,0.0
2022-03-26,11.8,10.9
2022-03-27,8.3,19.8
2022-03-28,8.0,0.0
2022-03-29,9.3,0.0
2022-03-30,10.6,0.0
2022-03-31,11.0,0.4
2022-04-01,9.1,0.0
2022-04-02,8.1,0.0
2022-04-03,9.2,0.0
2022-04-04,10.0,0.0
2022-04-05,9.9,0.0
2022-04-06,11.4,0.0
2022-04-07,10.9,0.0
2022-04-08,12.4,0.0
2022-04-09,17.3,0.0
2022-04-10,18.0,0.5
2022-04-11,19.2,0.0
2022-04-12,19.2,0.0
2022-04-13,13.4,0.5
2022-04-14,13.1,1.3
2022-04-15,13.2,0.0
2022-04-16,13.1,0.0
2022-04-17,13.7,0.0
2022-04-18,14.9,0.0
2022-04-19,14.9,0.0
2022-04-20,15.4,0.0
2022-04-21,16.0,0.0
2022-04-22,15.1,0.0
2022-04-23,17.2,0.0
2022-04-24,18.3,0.0
2022-04-25,19.7,0.3
2022-04-26,21.8,1.3
2022-04-27,17.8,1.0
2022-04-28,17.9,0.0
2022-04-29,13.8,0.0
2022-04-30,12.8,15.5
2022-05-01,13.2,0.0
2022-05-02,14.0,0.0
2022-05-03,14.6,0.0
2022-05-04,17.3,0.0
2022-05-05,18.7,0.0
2022-05-06,19.2,0.0
2022-05-07,18.4,0.0
2022-05-08,15.4,0.5
2022-05-09,17.3,2.0
2022-05-10,19.7,0.0
2022-05-11,19.5,0.0
2022-05-12,20.4,0.0
2022-05-13,19.4,0.0
2022-05-14,15.7,0.0
2022-05-15,16.0,0.0
2022-05-16,16.9,0.0
2022-05-17,19.6,0.0
2022-05-18,19.8,0.0
2022-05-19,19.8,1.5
2022-05-20,20.4,0.0
2022-05-21,19.9,0.0
2022-05-22,16.1,0.0
2022-05-23,22.6,0.0
2022-05-24,22.5,0.0
2022-05-25,20.9,0.0
2022-05-26,18.5,3.5
2022-05-27,19.8,0.0
2022-05-28,21.9,0.0
2022-05-29,22.9,0.0
2022-05-30,20.8,0.0
2022-05-31,20.4,0.0
2022-06-01,21.8,0.0
2022-06-02,21.2,0.0
2022-06-03,23.9,0.0
2022-06-04,25.3,0.0
2022-06-05,22.9,0.0
2022-06-06,19.7,0.0
2022-06-07,20.2,4.3
2022-06-08,21.0,0.0
2022-06-09,20.8,0.0
2022-06-10,20.7,2.6
2022-06-11,24.1,1.2
2022-06-12,24.4,0.0
2022-06-13,23.5,0.0
2022-06-14,21.6,18.0
2022-06-15,17.6,0.0
2022-06-16,20.3,18.5
2022-06-17,22.1,0.7
2022-06-18,23.3,0.0
2022-06-19,23.4,0.0
2022-06-20,25.0,0.0
2022-06-21,26.3,0.0
2022-06-22,25.6,0.0
2022-06-23,24.3,0.0
2022-06-24,22.8,103.0
2022-06-25,25.6,19.1
2022-06-26,26.4,0.0
2022-06-27,26.8,0.0
2022-06-28,27.0,6.1
2022-06-29,25.2,6.3
2022-06-30,22.5,37.8
2022-07-01,26.1,176.2
2022-07-02,28.5,0.0
2022-07-03,29.1,0.0
2022-07-04,29.2,0.0
2022-07-05,29.1,0.0
2022-07-06,29.3,0.0
2022-07-07,28.1,16.1
2022-07-08,26.0,0.0
2022-07-09,26.6,1.7
2022-07-10,28.9,0.1
2022-07-11,27.1,0.0
2022-07-12,26.7,9.0
2022-07-13,25.2,0.0
2022-07-14,25.6,114.5
